Pos	A	C	G	T	N	clean A	clean C	clean G	clean T	clean N
1	49.16%	23.71%	0.35%	26.78%	0.00%	49.16%	23.71%	0.35%	26.78%	0.00%
2	48.70%	19.38%	0.35%	31.58%	0.00%	48.70%	19.38%	0.35%	31.58%	0.00%
3	44.77%	22.27%	0.64%	32.33%	0.00%	44.77%	22.27%	0.64%	32.33%	0.00%
4	42.34%	25.62%	0.98%	31.06%	0.00%	42.34%	25.62%	0.98%	31.06%	0.00%
5	44.71%	23.02%	0.75%	31.52%	0.00%	44.71%	23.02%	0.75%	31.52%	0.00%
6	43.96%	24.81%	1.10%	30.13%	0.00%	43.96%	24.81%	1.10%	30.13%	0.00%
7	46.21%	21.34%	0.93%	31.52%	0.00%	46.21%	21.34%	0.93%	31.52%	0.00%
8	44.19%	23.83%	1.04%	30.94%	0.00%	44.19%	23.83%	1.04%	30.94%	0.00%
9	43.09%	22.79%	0.93%	33.20%	0.00%	43.09%	22.79%	0.93%	33.20%	0.00%
10	43.15%	23.83%	0.58%	32.45%	0.00%	43.15%	23.83%	0.58%	32.45%	0.00%
11	44.13%	23.08%	1.39%	31.41%	0.00%	44.13%	23.08%	1.39%	31.41%	0.00%
12	42.39%	22.90%	0.64%	34.07%	0.00%	42.39%	22.90%	0.64%	34.07%	0.00%
13	43.55%	22.73%	1.27%	32.45%	0.00%	43.55%	22.73%	1.27%	32.45%	0.00%
14	44.01%	23.37%	0.69%	31.93%	0.00%	44.01%	23.37%	0.69%	31.93%	0.00%
15	43.90%	21.98%	0.87%	33.26%	0.00%	43.90%	21.98%	0.87%	33.26%	0.00%
16	42.28%	23.37%	0.75%	33.60%	0.00%	42.28%	23.37%	0.75%	33.60%	0.00%
17	42.91%	23.19%	0.81%	33.08%	0.00%	42.91%	23.19%	0.81%	33.08%	0.00%
18	42.74%	24.64%	0.69%	31.93%	0.00%	42.74%	24.64%	0.69%	31.93%	0.00%
