Pos	A	C	G	T	N	clean A	clean C	clean G	clean T	clean N
1	35.86%	1.10%	24.12%	38.92%	0.00%	35.86%	1.10%	24.12%	38.92%	0.00%
2	35.80%	1.16%	21.86%	41.18%	0.00%	35.80%	1.16%	21.86%	41.18%	0.00%
3	32.85%	1.27%	24.58%	41.30%	0.00%	32.85%	1.27%	24.58%	41.30%	0.00%
4	33.37%	1.04%	21.63%	43.96%	0.00%	33.37%	1.04%	21.63%	43.96%	0.00%
5	31.46%	0.87%	22.09%	45.58%	0.00%	31.46%	0.87%	22.09%	45.58%	0.00%
6	33.14%	0.87%	22.56%	43.44%	0.00%	33.14%	0.87%	22.56%	43.44%	0.00%
7	35.92%	1.04%	21.92%	41.12%	0.00%	35.92%	1.04%	21.92%	41.12%	0.00%
8	33.89%	1.33%	21.46%	43.32%	0.00%	33.89%	1.33%	21.46%	43.32%	0.00%
9	32.91%	1.10%	20.76%	45.23%	0.00%	32.91%	1.10%	20.76%	45.23%	0.00%
10	32.45%	0.87%	22.44%	44.25%	0.00%	32.45%	0.87%	22.44%	44.25%	0.00%
11	32.50%	0.93%	22.67%	43.90%	0.00%	32.50%	0.93%	22.67%	43.90%	0.00%
12	34.99%	0.93%	21.57%	42.51%	0.00%	34.99%	0.93%	21.57%	42.51%	0.00%
13	30.83%	0.87%	22.73%	45.58%	0.00%	30.83%	0.87%	22.73%	45.58%	0.00%
14	31.64%	1.10%	22.09%	45.17%	0.00%	31.64%	1.10%	22.09%	45.17%	0.00%
15	32.16%	1.10%	22.50%	44.25%	0.00%	32.16%	1.10%	22.50%	44.25%	0.00%
16	32.10%	1.21%	23.08%	43.61%	0.00%	32.10%	1.21%	23.08%	43.61%	0.00%
17	32.97%	0.93%	22.15%	43.96%	0.00%	32.97%	0.93%	22.15%	43.96%	0.00%
18	35.34%	1.27%	20.19%	43.20%	0.00%	35.34%	1.27%	20.19%	43.20%	0.00%
19	32.39%	0.75%	22.33%	44.53%	0.00%	32.39%	0.75%	22.33%	44.53%	0.00%
20	30.77%	0.98%	23.94%	44.30%	0.00%	30.77%	0.98%	23.94%	44.30%	0.00%
21	32.79%	0.75%	20.47%	45.98%	0.00%	32.79%	0.75%	20.47%	45.98%	0.00%
22	35.57%	0.87%	19.90%	43.67%	0.00%	35.57%	0.87%	19.90%	43.67%	0.00%
23	33.72%	0.98%	20.94%	44.36%	0.00%	33.72%	0.98%	20.94%	44.36%	0.00%
24	31.64%	1.27%	21.86%	45.23%	0.00%	31.64%	1.27%	21.86%	45.23%	0.00%
25	30.94%	1.16%	23.31%	44.59%	0.00%	30.94%	1.16%	23.31%	44.59%	0.00%
26	32.79%	1.39%	21.92%	43.90%	0.00%	32.79%	1.39%	21.92%	43.90%	0.00%
27	32.56%	0.98%	21.23%	45.23%	0.00%	32.56%	0.98%	21.23%	45.23%	0.00%
28	31.64%	0.75%	21.63%	45.98%	0.00%	31.64%	0.75%	21.63%	45.98%	0.00%
29	33.02%	1.16%	20.47%	45.34%	0.00%	33.02%	1.16%	20.47%	45.34%	0.00%
30	31.93%	1.10%	23.19%	43.78%	0.00%	31.93%	1.10%	23.19%	43.78%	0.00%
31	33.08%	1.04%	23.08%	42.80%	0.00%	33.08%	1.04%	23.08%	42.80%	0.00%
32	32.45%	0.87%	21.92%	44.77%	0.00%	32.45%	0.87%	21.92%	44.77%	0.00%
33	32.79%	1.45%	20.88%	44.88%	0.00%	32.79%	1.45%	20.88%	44.88%	0.00%
34	31.64%	0.52%	22.50%	45.34%	0.00%	31.64%	0.52%	22.50%	45.34%	0.00%
35	32.85%	1.10%	21.52%	44.53%	0.00%	32.85%	1.10%	21.52%	44.53%	0.00%
