Pos	A	C	G	T	N	clean A	clean C	clean G	clean T	clean N
1	23.60%	24.20%	25.90%	26.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
2	25.10%	25.80%	24.90%	24.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
3	24.80%	24.40%	24.70%	26.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
4	24.10%	26.80%	24.40%	24.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
5	23.40%	26.80%	25.20%	24.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
6	25.50%	25.40%	23.40%	25.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
7	26.20%	24.00%	26.20%	23.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
8	24.00%	26.40%	24.90%	24.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
9	23.90%	27.10%	24.40%	24.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
10	24.00%	27.60%	24.00%	24.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
11	24.70%	25.40%	24.80%	25.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
12	24.00%	27.70%	21.50%	26.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
13	26.80%	24.10%	23.70%	25.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
14	26.00%	22.40%	25.90%	25.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
15	25.60%	24.60%	24.80%	25.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
16	25.70%	24.60%	23.40%	26.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
17	24.60%	26.10%	23.80%	25.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
18	25.70%	23.20%	24.90%	26.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
19	23.40%	24.30%	26.80%	25.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
20	23.90%	25.30%	26.40%	24.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
21	23.60%	24.10%	27.00%	25.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
22	25.40%	24.40%	26.20%	24.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
23	24.70%	25.80%	23.20%	26.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
24	29.00%	24.30%	22.10%	24.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
25	22.80%	26.30%	24.50%	26.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
26	24.50%	25.40%	24.90%	25.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
27	23.60%	24.30%	27.90%	24.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
28	26.90%	25.20%	23.50%	24.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
29	24.10%	24.50%	24.60%	26.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
30	25.60%	26.70%	24.40%	23.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
31	25.00%	24.50%	24.30%	26.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
32	25.60%	24.40%	23.60%	26.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
33	24.80%	23.90%	26.90%	24.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
34	26.10%	24.70%	23.80%	25.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
35	25.20%	26.00%	24.80%	24.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
36	23.50%	25.30%	25.70%	25.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
37	23.60%	23.90%	27.10%	25.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
38	25.80%	24.90%	27.90%	21.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
39	24.60%	22.50%	27.20%	25.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
40	24.30%	25.70%	27.80%	22.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
41	25.10%	25.10%	24.50%	25.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
42	23.10%	26.50%	25.80%	24.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
43	23.90%	27.40%	25.00%	23.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
44	24.00%	25.40%	24.80%	25.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
45	24.70%	27.70%	25.50%	22.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
46	23.20%	26.00%	24.60%	26.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
47	24.40%	28.10%	23.20%	24.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
48	25.40%	26.80%	24.90%	22.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
49	24.40%	26.40%	23.40%	25.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
50	24.60%	25.80%	23.70%	25.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
51	26.10%	24.80%	23.50%	25.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
52	24.70%	24.80%	27.30%	23.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
53	25.40%	21.80%	27.10%	25.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
54	25.30%	26.10%	24.80%	23.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
55	24.20%	25.00%	25.80%	25.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
56	24.10%	24.70%	24.80%	26.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
57	25.30%	24.40%	24.10%	26.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
58	25.20%	25.70%	24.50%	24.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
59	27.50%	25.60%	22.20%	24.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
60	26.50%	23.60%	24.60%	25.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
61	25.80%	25.40%	24.80%	24.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
62	23.80%	27.00%	26.10%	23.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
63	25.80%	25.60%	26.20%	22.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
64	23.90%	26.40%	26.80%	22.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
65	25.90%	25.50%	24.20%	24.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
66	24.40%	27.30%	24.80%	23.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
67	25.40%	26.50%	24.10%	24.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
68	24.90%	23.70%	24.20%	27.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
69	26.70%	24.20%	25.00%	24.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
70	26.00%	23.20%	27.40%	23.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
71	24.20%	23.50%	25.90%	26.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
72	25.10%	25.00%	24.40%	25.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
73	23.50%	24.20%	25.00%	27.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
74	23.30%	25.00%	25.30%	26.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
75	23.80%	26.50%	24.10%	25.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
76	25.60%	24.90%	23.90%	25.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
77	24.90%	26.30%	25.10%	23.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
78	23.60%	25.30%	25.00%	26.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
79	23.60%	28.00%	22.70%	25.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
80	24.80%	23.20%	27.70%	24.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
